,year,location
1990,1988,Indonesia
1991,1992,Indonesia
1992,1997,Indonesia
1993,1998,Indonesia
1994,1999,Indonesia
1995,1975,Morocco
1996,1976,Morocco
1997,1977,Morocco
1998,1978,Morocco
1999,1979,Morocco
2000,1980,Morocco
2001,1981,Morocco
2002,1982,Morocco
2003,1983,Morocco
2004,1984,Morocco
2005,1985,Morocco
2006,1986,Morocco
2007,1987,Morocco
2008,1988,Morocco
2009,1989,Morocco
2010,1977,Mozambique
2011,1978,Mozambique
2012,1979,Mozambique
2013,1980,Mozambique
2014,1981,Mozambique
2015,1982,Mozambique
2016,1983,Mozambique
2017,1984,Mozambique
2018,1985,Mozambique
2019,1986,Mozambique
2020,1987,Mozambique
2021,1988,Mozambique
2022,1989,Mozambique
2023,1990,Mozambique
2024,1991,Mozambique
2025,1992,Mozambique
2026,2013,Mozambique
2027,2016,Mozambique
2028,1978,Afghanistan
2029,1979,Afghanistan
2030,1980,Afghanistan
2036,1981,Afghanistan
2043,1982,Afghanistan
2050,1983,Afghanistan
2057,1984,Afghanistan
2065,1985,Afghanistan
2072,1986,Afghanistan
2079,1987,Afghanistan
2086,1988,Afghanistan
2093,1989,Afghanistan
2098,1990,Afghanistan
2103,1991,Afghanistan
2107,1992,Afghanistan
2110,1993,Afghanistan
2113,1994,Afghanistan
2116,1995,Afghanistan
2120,1996,Afghanistan
2123,1997,Afghanistan
2124,1998,Afghanistan
2125,1999,Afghanistan
2126,2000,Afghanistan
2127,2001,Afghanistan
2128,2002,Afghanistan
2129,2003,Afghanistan
2131,2004,Afghanistan
2132,2005,Afghanistan
2133,2006,Afghanistan
2135,2007,Afghanistan
2136,2008,Afghanistan
2138,2009,Afghanistan
2140,2010,Afghanistan
2142,2011,Afghanistan
2144,2012,Afghanistan
2145,2013,Afghanistan
2147,2014,Afghanistan
2148,2015,Afghanistan
2149,2016,Afghanistan
2150,1974,China
2152,1978,China
